ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
STZ.B,177,2021-07-08,2021-12-31,397804,,,,
CLBR,175,2023-07-20,2024-01-10,3554121,,,,
DISA,175,2023-03-30,2023-09-20,623269,,,,
MNTN,174,2024-11-29,2025-05-21,3310258,,,,
GTAC,173,2024-02-26,2024-08-16,596970,,,,
OTEC,173,2023-06-12,2023-12-01,261388,,,,
SIM,171,2024-01-03,2024-06-21,56452,,,,
IIVI,168,2022-09-08,2023-02-22,44449759,,,,
KACL,162,2023-01-05,2023-06-15,254992,,,,
GATE,161,2024-05-16,2024-10-23,601150,,,,
GDST,161,2024-08-14,2025-01-21,346885,,,,
TGVC,161,2023-05-04,2023-10-11,331452,,,,
HMG,160,2017-04-21,2017-09-27,42488,,,,
ALLR,157,2021-12-21,2022-05-26,2693414,,,,
LATG,157,2024-04-22,2024-09-25,494681,,,,
NPAB,157,2023-06-28,2023-12-01,470558,,,,
EJH,156,2021-08-16,2022-01-18,3323229,,,,
XYLO,155,2015-09-23,2016-02-24,1254579,,,,
NCAC,155,2023-01-20,2023-06-23,626345,,,,
CERO,150,2023-07-19,2023-12-15,4872442,,,,
BLEU,147,2023-08-24,2024-01-17,784231,,,,
AGM.A,147,2021-09-22,2022-02-15,75573,,,,
GMFI,145,2023-06-26,2023-11-17,402989,,,,
PPYA,144,2024-08-05,2024-12-26,542741,,,,
HORI,142,2022-10-17,2023-03-07,1214457,,,,
PAFO,142,2022-04-14,2022-09-02,951741,,,,
VSAC,142,2024-05-15,2024-10-03,300651,,,,
CLAY,142,2023-02-07,2023-06-28,184572,,,,
FXCO,139,2023-02-22,2023-07-10,294291,,,,
QOMO,139,2024-02-22,2024-07-09,183770,,,,
FLD,138,2024-08-02,2024-12-17,1602450,,,,
CVU,138,2022-05-20,2022-10-04,311218,,,,
STI,136,2022-05-04,2022-09-16,3200288,,,,
SISI,135,2017-06-13,2017-10-25,942518,,,,
IVCA,135,2024-08-26,2025-01-07,939853,,,,
CLOE,135,2023-01-17,2023-05-31,189781,,,,
AGBA,133,2019-08-01,2019-12-11,2319132,,,,
STEX,133,2024-06-12,2024-10-22,1488156,,,,
